,Host ID,Host Lat,Host Lng,TOWN,NAME,COUNTRY,Address1,Postcode,PNO,NSF,Branch IDs,Venue ID,Venue Name,Venue Distance,Venue Address,Venue Lat,Venue Lng,Venue Category
56,TS0183,52.040522499999994,-0.7563854,MILTON KEYNES,MILTON KEYNES STORE,ENG,32 Midsummer Place,MK9 3GA,488,7530,"TM7143,TS0183",4e6f2cce45dd49e0f1a833d7,JD Sports,272,"['29/35 Midsummer Place (thecentre:mk)', 'Milton Keynes', 'Buckinghamshire', 'MK9 3BG', 'United Kingdom']",52.011016999999995,-0.7577959533729199,Sporting Goods Shop
57,TS0185,-33.6483333,150.7344444,LONDONDERRY,LONDONDERRY,NI,Unit M7,BT48 6XY,426,4735,"TM8105,TS0185",5b7f3ce50457b7002caf4c21,JD Sports,12103,"['316 Level 2 Westfield Penrith, 585 High Street', 'Penrith NSW 2750', 'Australia']",-33.7516623,150.6937806,Sporting Goods Shop
58,TS0191,53.488484923474104,-2.09424579486343,ASHTON UNDER LYNE,ASHTON UNDER LYNE,ENG,51 Warrington Street,OL6 7JG,1540,1998,"TM7262,TS0191",4b7ec528f964a52010fe2fe3,JD Sports,6809,"['16-18 Arndale Centre, Barbarolli Mall', 'Manchester', 'M4 3AB', 'United Kingdom']",53.41021820947648,-2.2428121987419445,Sporting Goods Shop
59,TS0197,52.67679891689011,-2.44604497594654,TELFORD,TELFORD,ENG,"115 The Border, The Mall",TF3 4AE,1524,2067,"TM7305,TS0197",4d0a4b215edd548195dc049b,JD Sports,113,"['Unit 21-23 Sherwood Street', 'Telford', 'Telford and Wrekin', 'TF3 4BW', 'United Kingdom']",52.67578361051515,-2.446083426475525,Sporting Goods Shop
60,TS0200,52.7095985691259,-2.75257793335387,SHREWSBURY,SHREWSBURY,ENG,Unit Lru,SY1 1BN,1824,1930,"TM7028,TS0200",5c162e18bf7dde002c3a29a1,JD Sports,72,"['Shrewsbury', 'Shropshire', 'SY1 1DQ', 'United Kingdom']",52.709115000000004,-2.7533090000000002,Sporting Goods Shop
61,TS0216,51.3755876016704,-0.10105181753124799,CROYDON,CROYDON NORTH END,ENG,54 North End,CR0 1UG,5025,4440,"TM7189,TS0216",4c0f573a2466a5931e797a21,JD Sports,1,"['151-153 High Street', 'Bromley', 'Greater London', 'BR1 1JD', 'United Kingdom']",51.36485115254712,-0.20538747310638428,Sporting Goods Shop
62,TS0309,51.4666151,-0.0968000068121059,CANARY WHARF,CANARY WHARF,ENG,Topshop Unit 3 Canada Square,E14 5AB,497,2183,"TM8634,TS0309",4ac518f1f964a520ecad20e3,JD Sports,6171,"['197-203 Oxford Street', 'West End', 'Greater London', 'W1D 2LE', 'United Kingdom']",51.428388,-0.167446,Sporting Goods Shop
63,TS0317,51.8022826,-0.2039953,WELWYN GARDEN CITY,WELWYN GARDEN CITY,ENG,"Unit 14, The Howard Centre",AL8 6HA,5311,1622,TS0317,4c77a02b923ba143a78567e6,JD Sports,117,"['Hatfield Park Plaza, Comet Way (Comet Way)', 'Hatfield', 'Hertfordshire', 'AL10 0XX', 'United Kingdom']",51.760739,-0.240079,Sporting Goods Shop
64,TS0319,51.5779970169978,0.18325218516214603,ROMFORD,ROMFORD,ENG,Unit 5,RM1 3RL,5067,3770,"TM8488,TS0319",4c2b3c53ae6820a10a701743,JD Sports,41,"['131 High Street North', 'East Ham Central', 'Greater London', 'E6 1HZ', 'United Kingdom']",51.517395775703356,0.051830332686222384,Sporting Goods Shop
65,TS0328,51.73305928705379,0.472826944418891,CHELMSFORD,CHELMSFORD,ENG,1 High Chelmer,CM1 1XG,5020,3955,"TM7877,TS0328",4e27079d8877d0ffee866e30,JD Sports,19,"['Unit 7 Higher Chelmer', 'Chelmsford', 'Essex', 'CM1 1XG', 'United Kingdom']",51.73221802197107,0.47259700000000004,Sporting Goods Shop
66,TS0337,54.9063062753811,-1.38359956274905,SUNDERLAND,SUNDERLAND,ENG,Unit 21 The Bridges,SR1 3LD,433,4275,"TM7152,TS0337",4ef1f9270e617e29c6859566,JD Sports,80,"['Unit 42 The Bridges', 'Sunderland', 'SR1 3LB', 'United Kingdom']",54.900158,-1.531965,Sporting Goods Shop
67,TS0393,52.413018900000004,-1.7768935000000001,SOLIHULL,SOLIHULL,ENG,"Unit Su60, Touchwood Centre",B91 3QF,523,4000,"TM7174,TS0393",4c25ef82905a0f47a04d6260,JD Sports,183,"['165 High Street', 'Moseley and Kings Heath', 'West Midlands', 'B14 7DJ', 'United Kingdom']",52.412555,-1.8928080797195437,Sporting Goods Shop
68,TS0451,53.393269,-6.389946900000001,Z EIRE BLANCHARDSTOWN,BLANCHARDSTOWN,EIR,Unit 221,D15RF61,22,4384,"TM7654,TS0451",4b5346b9f964a520679527e3,JD Sports,9607,"['43-44 Mary Street', 'Dublin', 'Dublin City', 'Ireland']",53.28713049037214,-6.371030559109273,Sporting Goods Shop
69,TS0453,53.2892637,-9.01828611815232,Z EIRE GALWAY,GALWAY,EIR,Unit 9/10/11 Edward Square,H91 RKT0,469,2300,"TM7099,TS0453",53c2b61d498e354934044791,JD Sports,2725,"['Unit 128, Eyre Square Shopping Centre, Eyre Square', 'Galway', 'Co Galway', 'Ireland']",53.273357999999995,-9.0494109,Sporting Goods Shop
